Mandat,transco_mandat
Conseiller à l'Assemblée des Français de l'étranger,Conseil à l'Assemblée des Français de l'étranger
Conseillère à l'Assemblée des Français de l'étranger,Conseil à l'Assemblée des Français de l'étranger
Conseiller départemental,Conseil départemental
Conseillère départementale,Conseil départemental
Conseiller de Paris,Conseil municipal
Conseillère de Paris,Conseil municipal
Conseillère métropolitaine de Lyon,Conseil municipal
Conseiller métropolitain de Lyon,Conseil municipal
Conseiller régional,Conseil régional
Conseillère régionale,Conseil régional
Députée,Députation
Député,Députation
Représentante française au Parlement européen,Députation française au Parlement européen
Représentant français au Parlement européen,Députation française au Parlement européen
Maire,Maire
Maire délégué d'une commune associée ou d'une commune déléguée,Maire
Maire déléguée d'une commune associée ou d'une commune déléguée,Maire
Maire d'arrondissement,Maire
Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier,Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier
Membre de l'Assemblée de Corse,Députation
Président d'un EPCI à fiscalité propre,Présidence d'un EPCI à fiscalité propre
Présidente d'un EPCI à fiscalité propre,Présidence d'un EPCI à fiscalité propre
Présidente du conseil consulaire,Présidence du conseil consulaire
Président du conseil consulaire,Présidence du conseil consulaire
Sénateur,Sénat
Sénatrice,Sénat
